job_title,company,location,country,job_category,avg_salary_lpa,min_salary_lpa,max_salary_lpa,avg_experience,min_experience,max_experience,seniority,skill_python,skill_java,skill_javascript,skill_sql,skill_excel,skill_tableau,skill_power_bi,skill_react,skill_angular,skill_aws,skill_azure
Good Opportunity for Oracle DBA - Bangalore Location,"iPlanner, Inc. hiring for Product based Company",Bengaluru,India,Business Analyst,2.5,5.0,0.0,7.5,5.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
HR Managers in Demand in Canada & Australia,Global Connections,Mumbai,India,Other IT Role,,,,7.5,5.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Call Quality,Accenture,Bengaluru,India,Other IT Role,,,,3.0,1.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Assistant/ Deputy Manager Purchase,Biocon Limited,Bengaluru,India,Other IT Role,2.0,4.0,0.0,7.5,5.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
IBM Mobile First Developer,eGov Tech Labs,Bengaluru,India,Mobile Developer,,,,5.0,4.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
WLAN Device Driver Development Engineer - Linux,Strivex Consulting Pvt Ltd,Bengaluru,India,Other IT Role,,,,6.5,4.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Senior Developer-bi,SLK Software Services Pvt. Ltd.,Bengaluru,India,Other IT Role,,,,4.0,3.0,5.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Banking / Mortgage / Finance / Sales / Bpo / Call Centre / Associate /,Inspiration Manpower Consultancy Pvt. Ltd.,Chennai,India,Other IT Role,1.0,2.0,0.0,2.5,0.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Senior Developer (retail POS Development),Careernet Technologies Pvt Ltd hiring for Senior Developer (retail POS Development),Bengaluru,India,Other IT Role,,,,6.5,5.0,8.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Javascript Developer -oojs/angular/node/react - Html/css,Confidential,Delhi,India,Frontend Developer,,,,10.5,9.0,12.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Devops Engineer,IFB Support Services Pvt. Ltd.,Bengaluru,India,DevOps Engineer,,,,6.5,5.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Developer - SQL Bi/cosmos/sql Azure,Softtech Career Infosystem Pvt. Ltd,Bengaluru,India,Cloud Engineer,,,,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Bluetooth Stack Test Engineer - Testing & Verification,Strivex Consulting Pvt Ltd,Bengaluru,India,QA/Test Engineer,,,,7.5,5.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Sharepoint Technical Lead / Architect,EY,Gurgaon,India,Other IT Role,,,,9.5,7.0,12.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Trainee/intern,StateStreet Global Advisor Pvt Ltd,Bengaluru,India,Other IT Role,,,,0.0,0.0,0.0,Junior,0,0,0,0,0,0,0,0,0,0,0
SFDC Developers,Magna Infotech Pvt Ltd,Mumbai,India,Other IT Role,,,,8.0,6.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Architect-salarpuria Sattva,Greenage Griha Nirmaan Pvt Ltd.,Bengaluru,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Full Stack Software Engineer - Angularjs/ruby on Rails,OKDA Solutions,Bengaluru,India,Full Stack Developer,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Preferred Relationship Manager,TopGear Consultants Pvt Ltd. hiring for Top Leading Bank,Bengaluru,India,Other IT Role,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Gym Instructor,Park Plaza Hotel,Bengaluru,India,Other IT Role,,,,3.0,2.0,4.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
VP - Program/project/product Management - Ecommerce - Iit/iim/fms,Search Light,Bengaluru,India,Other IT Role,,,,12.5,10.0,15.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
"Technical Lead C#, .net, WCF, Winforms, WPF",Career Trackers and Consulting hiring for A very Prestigious French MNC,Bengaluru,India,Other IT Role,,,,5.5,4.0,7.0,Senior,0,0,0,0,0,0,0,0,0,0,0
JAVA GWT,CIGNEX Datamatics Technologies Ltd.,Bengaluru,India,Other IT Role,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Java Developers,Kinesis Management Consultant Pvt. Ltd,Mumbai,India,Other IT Role,2.0,4.0,0.0,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Wealth Planning Offices - Direct Sales - Life Insurance,RBG HR SERVICES LLP hiring for Life Insurance Company,Chennai,India,Other IT Role,26.0,2.0,50.0,3.5,1.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Senior Manager/deputy General Manager- Digital Marketing,HumanKonnect,Bengaluru,India,Other IT Role,,,,8.0,6.0,10.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Dot Net Developer - ( Bangalore - Whitefield),BMS Innolabs Software Pvt. Ltd hiring for For Taxi Aggregation Company,Bengaluru,India,Other IT Role,1.5,3.0,0.0,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Manager Business Analytics,Myntra Designs Pvt. Ltd.,Bengaluru,India,Data Analyst,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Arts Fresher,Magna Infotech Pvt Ltd,Bengaluru,India,Other IT Role,,,,0.5,0.0,1.0,Junior,0,0,0,0,0,0,0,0,0,0,0
Legal Manager,Nitesh Estates Limited,Bengaluru,India,Other IT Role,,,,10.0,8.0,12.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Need Technicians,EFS Facilities Services (india) Pvt. Ltd.,Bengaluru,India,Other IT Role,25.0,50.0,0.0,2.5,0.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Product Manager,PlaySimple - Startup,Bengaluru,India,Product Manager,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
R2R Operations Manager/bangalore - Upto 17 L,Job Finder,Bengaluru,India,Other IT Role,3.5,7.0,0.0,13.0,10.0,16.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Opening for Hadoop Developers-product Development Client,Convate hiring for E-commerce/retail,Bengaluru,India,Other IT Role,,,,5.5,4.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
"Immediate Opening for Sr VC++ , C++ Professionals at AFL",Accel Frontline Limited,Bengaluru,India,Other IT Role,3.0,6.0,0.0,7.0,5.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Content Writer & Editor,"Opus Pro Soft hiring for Siliconindia, CIO Review",Bengaluru,India,Other IT Role,,,,0.5,0.0,1.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Investment Analyst | Construction Finance Industry,Hindco Recruitment Consultants hiring for A Large Real Estate / Housing Finance Company,Chennai,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Executive / Senior Executive - Examinations & Quality Systems,Manipal-City & Guilds (MCG),Bengaluru,India,Other IT Role,,,,3.5,2.0,5.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Opening for Ruby on Rails Development with Telecom Company,Confidential,Bengaluru,India,Other IT Role,,,,6.5,4.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Customer Support Associate/executive/cashier in a Retail Industry,Unique support and services hiring for A Retail Industry,Mumbai,India,Other IT Role,13.0,1.0,25.0,2.5,0.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Teradata Developer,Confidential,Bengaluru,India,Other IT Role,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Process Engineer(refinery),Take Wings hiring for http://takewing.co.in,Chennai,India,Other IT Role,,,,2.5,0.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Senior Web Developer,Nasdaq Corporate Solutions (India) Pvt Ltd.,Bengaluru,India,Other IT Role,,,,6.0,5.0,7.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Big Fix Administrator - Tivoli/ Unix,TRH Consultancy Services,Chennai,India,Other IT Role,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Chemical Engineer,Take Wings hiring for http://takewing.co.in,Chennai,India,Other IT Role,,,,2.5,0.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
SOW Coordinator,Confidential,Bengaluru,India,Other IT Role,,,,3.0,2.0,4.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Full Stack Enginner,Confidential,Bengaluru,India,Full Stack Developer,,,,3.0,1.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Immediate Openings for bpo Non/ Voice Process..call Sourabh,Quess Corp Ltd. hiring for Immediate Openings for bpo Voice Process. CALL sourabh@7204053192,Bengaluru,India,Other IT Role,25.5,1.0,50.0,2.0,0.0,4.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Urgent Openings Bangalore - IT Recruiter,Confidential,Bengaluru,India,Other IT Role,,,,5.0,4.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
UI UX Designer,Thrillophilia Adventure Tours Pvt Ltd,Chennai,India,UI/UX Designer,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
NET Programmer,Axtel Communication Private Limited,Bengaluru,India,Software Engineer,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Government Jobs for Freshers in India,Local Job Search,Mumbai,India,Other IT Role,1.5,3.0,0.0,0.0,0.0,0.0,Junior,0,0,0,0,0,0,0,0,0,0,0
Deputy Manager - Indirect Taxation | Confidential,Hindco Recruitment Consultants hiring for Leading Retail Company,Chennai,India,Other IT Role,,,,10.5,9.0,12.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Software Jobs for Freshers,Local Job Search,Mumbai,India,Other IT Role,25.5,1.0,50.0,2.5,0.0,5.0,Junior,0,0,0,0,0,0,0,0,0,0,0
HR Coordinator,Confidential,Bengaluru,India,Other IT Role,,,,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
.Net MVC - Senior Developer @ Shoppyzip.com - Bangalore,Shoppyzip Online Pvt Ltd,Bengaluru,India,Other IT Role,0.5,1.0,0.0,3.5,2.0,5.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Assistant Manager - PMO,KPMG,Bengaluru,India,Other IT Role,,,,6.0,5.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Technology Architect - Contractual ( PAN India ),State Bank Of India,Mumbai,India,Other IT Role,,,,15.0,10.0,20.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Developer 3G,confidential,Bengaluru,India,Other IT Role,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Sales Executive/senior Executive/assistant Sales Manager,Paramount Instruments Pvt. Ltd.,Mumbai,India,Other IT Role,,,,2.0,0.0,4.0,Senior,0,0,0,0,0,0,0,0,0,0,0
lead data Scientist,Merrin and Associates,Bengaluru,India,Data Scientist/ML,4.0,8.0,0.0,10.0,8.0,12.0,Senior,0,0,0,0,0,0,0,0,0,0,0
"Hr-generalist/hr Admin/, Global MNC, Conatct Hr-080-49546910",WISDOM BRIDGE MANAGEMENT CONSULTANTS hiring for Leading Global IT Firm in India,"Bengaluru, Wayanad, Warangal, Visakhapatnam, Vijayawada, Vellore, Tuticorin, Tumkur, Trivandrum",India,Other IT Role,13.5,2.0,25.0,2.5,0.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Big Data Test Engineer,Bob Technologies,Bengaluru,India,Data Engineer,,,,8.0,6.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
SAP Basis,ASAP Info Systems Pvt Ltd,Hyderabad,India,Other IT Role,1.5,3.0,0.0,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Associate Recruiter,Confidential,Hyderabad,India,Other IT Role,,,,6.0,5.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
"Exciting Opportunity for Lead Cakephp Developer for Carmatec,bangalore",Carmatec It Solutions Pvt Ltd,Bengaluru,India,Other IT Role,,,,5.5,3.0,8.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Technical Services Engineer,Altisource Business Solutions Pvt Ltd,Bengaluru,India,Other IT Role,,,,5.0,3.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Product Specialist With a Telecom Product Based org in Bangalore,Confidential,Bengaluru,India,Other IT Role,,,,3.0,2.0,4.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Exciting Career Opportunity for RTL Design Engineers | Bangalore,Enlivening Technologies Pvt Ltd,Bengaluru,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Big Data Hadoop Developer,dynproindia,Pune,India,Data Engineer,0.5,1.0,0.0,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
"Assistant Manager,hr-generalist ,Top Retail Firm,7411909767,9686288924",WISDOM BRIDGE MANAGEMENT CONSULTANTS hiring for Leading Retail firm in Bangalore,"Bengaluru, Visakhapatnam, Vijayawada, Warangal, Wayanad, Vellore, Tuticorin, Trivandrum, Tumkur",India,Other IT Role,1.0,2.0,0.0,3.5,1.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
"HR Operation Lead"" - Bangalore",Confidential,Bengaluru,India,Other IT Role,,,,6.5,5.0,8.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Front end Recruiter,Confidential,Bengaluru,India,Other IT Role,,,,4.5,3.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Medical Coding- Join Today For A Better Tomorrow- Whatsapp@ 9789004777,YOGAM BPO,Bangalore,India,Other IT Role,1.0,2.0,0.0,0.5,0.0,1.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Immediate Job Opening for IT Recruiter(hcl Technologies),Confidential,Bengaluru,India,Other IT Role,,,,0.5,0.0,1.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Biztalk Developer,EnkayConsultants,Bengaluru,India,Other IT Role,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
IT Software Engineer Jobs for Freshers in India,Local Job Search,Mumbai,India,Software Engineer,1.5,3.0,0.0,0.5,0.0,1.0,Junior,0,0,0,0,0,0,0,0,0,0,0
Marketing Manager - Gastro,Spectrum HR Services hiring for A Reputed Pharma Giant,Hyderabad,India,Other IT Role,,,,14.0,10.0,18.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Robotics Trainer for Schools in Bangalore,RoboWizards Education LLP,Mumbai,India,Other IT Role,,,,2.0,0.0,4.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
"Commis I, Commis II, Commis III, Tandoor, Continental, Garde Manjer",HMS Host Services India Pvt Ltd,Bengaluru,India,Other IT Role,25.5,1.0,50.0,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Controller,LAYFIELD BARRETT KPO SERVICES PRIVATE LIMITED,Bengaluru,India,Other IT Role,,,,15.0,10.0,20.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Store Executive Required in Banglor(raja Rajeshwari Nagar & Marathall,Confidential,Bengaluru,India,Other IT Role,,,,0.5,0.0,1.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Medical Coding Transcription- TO BE Honest YOU CAN DO Transcription,YOGAM BPO,Bangalore,India,Other IT Role,1.0,2.0,0.0,0.5,0.0,1.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Opening for UI Designer/developer for Telecom Company,Confidential,Chennai,India,UI/UX Designer,,,,5.0,3.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Huge Requirements for International Voice.call Archana,Quess Corp Ltd.,Bengaluru,India,Other IT Role,1.0,2.0,0.0,2.5,0.0,5.0,Junior,0,0,0,0,0,0,0,0,0,0,0
Job Opening for HCL Technologies C Developer Bangalore(16-10-2016),Bull IT Services hiring for HCL Technology Limited,Bengaluru,India,Other IT Role,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Openings for Position of Test Engineer- Manager for Bangalore Location,ManpowerGroup Services India Private Limited hiring for MNC,Bengaluru,India,QA/Test Engineer,,,,8.0,6.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Immediate Openings for bpo Non/ Voice Process..call Kavya,Quess Corp Ltd. hiring for Immediate Openings for bpo Voice Process. CALL Kavya@7204053179,Bengaluru,India,Other IT Role,25.5,1.0,50.0,2.0,0.0,4.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Software Engineer,Confidential,Bengaluru,India,Software Engineer,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Machine Learning & NLP Expert -candidates From Premier Institutes Only,IPsoft Global Services Private Limited,Bengaluru,India,Data Scientist/ML,6.0,12.0,0.0,3.0,1.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Marketing Executive-chennai,Apollo Sugar Clinics Limited,Chennai,India,Other IT Role,1.0,2.0,0.0,3.5,1.0,6.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Mega Walk-in Drive - Tech M - Genesys - Pune / Bangalore - 15 Oct 16,ITBMS Inc,Pune,India,Other IT Role,2.5,5.0,0.0,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Data Entry Typing work,TalentPegs,Mumbai,India,Other IT Role,25.5,1.0,50.0,2.5,0.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Priorty Banking ( Banking Wealth),Manzil Placement,Mumbai,India,Other IT Role,,,,6.5,4.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Associate Software Engineer And Testing Jobs In Bangalore,Local Job Search,Hyderabad,India,Software Engineer,1.5,3.0,0.0,1.0,0.0,2.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Showroom Executives,Confidential,Bengaluru,India,Other IT Role,,,,2.5,0.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Android Developer,InstaCar Technologies Pvt. Ltd.,Mumbai,India,Mobile Developer,3.0,6.0,0.0,7.5,5.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
SPA Manager for a Leading Spa & Salon,Delight HR Services Pvt Ltd.,Bengaluru,India,Other IT Role,26.0,2.0,50.0,3.5,2.0,5.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Recruitment Coordinator- Bangalore,Azim Premji Foundation,Bengaluru,India,Other IT Role,,,,2.0,1.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
"BDM from Furniture, Interior Desig call Hyderabad 8904440505/0606",Step Ahead,Bengaluru,India,Other IT Role,14.5,4.0,25.0,8.5,7.0,10.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Lead Engineer (java) with 6+ Years Experience Required at Bangalore,Human Capital and Tech Solutions,Bengaluru,India,Other IT Role,,,,8.5,6.0,11.0,Senior,0,0,0,0,0,0,0,0,0,0,0
Immediate Opening for Freshers-btech (IT Recruiter),Confidential,Bengaluru,India,Other IT Role,,,,0.5,0.0,1.0,Junior,0,0,0,0,0,0,0,0,0,0,0
Executive - CRM,Puravankara Projects Limited,Bengaluru,India,Other IT Role,,,,2.0,1.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Web Developer & Designer,Viaweb Technologies Solutions LLP,Bengaluru,India,UI/UX Designer,,,,2.5,2.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Immediate Openings for Bench Sales Recruiter for Bangalor,Confidential,Bengaluru,India,Other IT Role,,,,3.0,2.0,4.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Sales Executive For Construction Industry,Confident Group,Bengaluru,India,Other IT Role,,,,2.5,0.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
MS SQL Database Administrator - SQL Server,Softtech Career Infosystem Pvt. Ltd,Bengaluru,India,Other IT Role,,,,6.0,4.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Wanted Delivery Boy With Valid DL and Bike or with out DL,Adecco India Private Limited hiring for a,Bengaluru,India,Other IT Role,0.5,1.0,0.0,0.0,0.0,0.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Open Walk-in for Freshers ( Pharmacovigilance) @ Quintilesims,QuintilesIMS Research India Private Limited.,Bengaluru,India,Other IT Role,,,,0.5,0.0,1.0,Junior,0,0,0,0,0,0,0,0,0,0,0
Was/weblogic Developer,Pinaki Softcon Pvt Ltd,Gurgaon,India,Other IT Role,2.5,5.0,0.0,6.5,4.0,9.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
.3G Developer,Confidential,Bengaluru,India,Other IT Role,,,,4.0,3.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
